t0_Ax,t0_Ay,t0_Az,t0_gyro_x,t0_gyro_y,t0_gyro_z,t1_Ax,t1_Ay,t1_Az,t1_gyro_x,t1_gyro_y,t1_gyro_z,t2_Ax,t2_Ay,t2_Az,t2_gyro_x,t2_gyro_y,t2_gyro_z,t3_Ax,t3_Ay,t3_Az,t3_gyro_x,t3_gyro_y,t3_gyro_z,t4_Ax,t4_Ay,t4_Az,t4_gyro_x,t4_gyro_y,t4_gyro_z,t5_Ax,t5_Ay,t5_Az,t5_gyro_x,t5_gyro_y,t5_gyro_z,t6_Ax,t6_Ay,t6_Az,t6_gyro_x,t6_gyro_y,t6_gyro_z,t7_Ax,t7_Ay,t7_Az,t7_gyro_x,t7_gyro_y,t7_gyro_z,t8_Ax,t8_Ay,t8_Az,t8_gyro_x,t8_gyro_y,t8_gyro_z,t9_Ax,t9_Ay,t9_Az,t9_gyro_x,t9_gyro_y,t9_gyro_z,t10_Ax,t10_Ay,t10_Az,t10_gyro_x,t10_gyro_y,t10_gyro_z,t11_Ax,t11_Ay,t11_Az,t11_gyro_x,t11_gyro_y,t11_gyro_z,t12_Ax,t12_Ay,t12_Az,t12_gyro_x,t12_gyro_y,t12_gyro_z,t13_Ax,t13_Ay,t13_Az,t13_gyro_x,t13_gyro_y,t13_gyro_z,t14_Ax,t14_Ay,t14_Az,t14_gyro_x,t14_gyro_y,t14_gyro_z,t15_Ax,t15_Ay,t15_Az,t15_gyro_x,t15_gyro_y,t15_gyro_z,t16_Ax,t16_Ay,t16_Az,t16_gyro_x,t16_gyro_y,t16_gyro_z,t17_Ax,t17_Ay,t17_Az,t17_gyro_x,t17_gyro_y,t17_gyro_z,t18_Ax,t18_Ay,t18_Az,t18_gyro_x,t18_gyro_y,t18_gyro_z,t19_Ax,t19_Ay,t19_Az,t19_gyro_x,t19_gyro_y,t19_gyro_z,t20_Ax,t20_Ay,t20_Az,t20_gyro_x,t20_gyro_y,t20_gyro_z,t21_Ax,t21_Ay,t21_Az,t21_gyro_x,t21_gyro_y,t21_gyro_z,t22_Ax,t22_Ay,t22_Az,t22_gyro_x,t22_gyro_y,t22_gyro_z,t23_Ax,t23_Ay,t23_Az,t23_gyro_x,t23_gyro_y,t23_gyro_z,t24_Ax,t24_Ay,t24_Az,t24_gyro_x,t24_gyro_y,t24_gyro_z,t25_Ax,t25_Ay,t25_Az,t25_gyro_x,t25_gyro_y,t25_gyro_z,t26_Ax,t26_Ay,t26_Az,t26_gyro_x,t26_gyro_y,t26_gyro_z,t27_Ax,t27_Ay,t27_Az,t27_gyro_x,t27_gyro_y,t27_gyro_z,t28_Ax,t28_Ay,t28_Az,t28_gyro_x,t28_gyro_y,t28_gyro_z,t29_Ax,t29_Ay,t29_Az,t29_gyro_x,t29_gyro_y,t29_gyro_z
931,-383,92,83,-52,-45,931,-376,86,92,-31,-25,937,-373,83,84,-29,-20,944,-370,76,73,-25,-11,953,-378,79,48,-16,-19,947,-375,78,37,-18,-27,946,-368,70,12,-12,-31,931,-371,35,-11,-14,-20,948,-358,-175,-84,48,43,959,-399,-397,-371,284,72,968,-529,-566,-793,551,-17,865,-644,-607,-1305,1114,-139,723,-746,-586,-1965,1578,-401,561,-886,-498,-2649,2016,-586,388,-1036,-449,-3295,2244,-788,248,-1163,-392,-3434,2514,-549,-56,-1217,-282,-3330,2677,-37,-509,-1424,-196,-3048,2744,829,-1511,-1968,548,-2204,2809,1784,-2238,-2321,909,-1378,29,899,-2646,-2883,666,222,-2447,71,-2484,-3613,-190,2159,-3758,-1308,-1989,-3573,-1616,3556,-4362,-3188,-1512,-2669,-2258,3722,-3582,-4167,-1030,-1649,-2102,2724,-2180,-4391,-708,-996,-1723,2218,-965,-3640,-483,-459,-1443,1437,-357,-2806,-356,-33,-1172,885,136,-1678,-208,192,-944,465,324,-715,25,376,-758,183,286,141
772,-668,137,-268,485,-40,720,-690,372,-331,311,-119,688,-673,450,-197,104,-119,677,-643,435,-17,-88,-89,691,-631,382,132,-201,-51,727,-632,283,291,-258,-8,777,-618,29,349,-242,35,847,-626,-351,46,52,-45,869,-671,-670,-500,539,-164,714,-747,-836,-1387,1175,-354,541,-935,-858,-2164,1703,-431,341,-1164,-751,-2894,2030,-467,177,-1376,-617,-3082,2323,-302,-56,-1544,-397,-3072,2587,14,-292,-1515,-112,-2641,2635,358,-487,-1551,139,-2526,2065,430,-674,-1833,569,-1913,1414,677,-735,-2267,844,-1039,71,175,-711,-2926,767,614,-1631,-781,-589,-3258,254,2416,-2980,-1938,-621,-3109,-823,3814,-3560,-3074,-591,-2605,-1448,3964,-3155,-3866,-544,-1684,-1675,3067,-2563,-4339,-406,-1028,-1545,2221,-1485,-3906,-319,-448,-1410,1578,-487,-2840,-222,-140,-1118,845,-62,-1911,-55,57,-841,352,153,-1005,134,229,-626,190,254,-250,319,332,-515,72,110,194,504,356,-450,140,108,634
609,-689,286,120,-276,32,659,-692,183,217,-192,80,661,-702,165,246,-119,97,671,-724,148,262,-132,114,683,-734,141,256,-130,120,696,-758,119,240,-135,114,714,-779,55,223,-93,108,774,-836,-164,131,-12,106,885,-932,-488,-151,260,-18,894,-1117,-751,-738,895,-303,818,-1320,-871,-1528,1555,-719,594,-1633,-808,-2580,2227,-1267,388,-1741,-686,-3051,2808,-1724,210,-1785,-502,-3293,3242,-2010,-26,-1689,-143,-2939,3103,-2035,-207,-1511,315,-2441,2487,-1897,-351,-1323,669,-1503,1652,-1181,-340,-1173,820,-686,750,-542,-311,-1160,865,54,-96,76,-195,-1398,907,822,-938,532,58,-1765,730,1921,-1816,707,318,-2119,276,3127,-2362,496,637,-2207,-511,4082,-2596,-117,892,-1790,-1281,4087,-2511,-995,854,-1029,-1625,3231,-1847,-1816,612,-464,-1484,2364,-1201,-1993,452,-86,-1194,1596,-575,-1625,379,114,-863,1140,-192,-1136,422,247,-700,758,-125,-623,555,297,-563,478,-37,-88
463,-1213,377,36,-577,-107,524,-1133,244,465,-829,-183,590,-1019,57,874,-956,-262,626,-906,-93,982,-893,-308,650,-828,-195,1010,-773,-319,659,-712,-285,826,-710,-365,671,-590,-384,548,-468,-282,653,-507,-440,197,-175,-112,643,-496,-489,-233,251,148,598,-515,-483,-809,802,330,551,-561,-472,-1304,1201,420,484,-732,-351,-1533,1663,753,371,-915,-121,-1488,1846,904,170,-1225,166,-1179,1778,1061,-138,-1710,500,-599,1176,987,-464,-2385,749,340,-380,224,-464,-2776,516,1729,-2221,-1416,-336,-2466,-400,3194,-3038,-2927,-292,-1746,-947,3355,-2734,-3488,-248,-1045,-1113,2674,-2039,-3729,-155,-490,-1039,1659,-1506,-3514,-168,-8,-968,941,-672,-2576,-91,214,-704,428,-252,-1422,63,259,-545,162,-136,-556,261,326,-410,66,-86,272,452,333,-384,39,-107,851,644,270,-351,13,-40,1353,799,177,-300,78,136,1748,949,3,-206,28,352,1994,952,-184,-129,169,595,2129,961,-361,-43,216,843,2161
724,-644,185,-200,216,-35,759,-636,162,-104,125,2,803,-621,107,-56,68,-1,830,-609,65,-52,64,-4,845,-600,30,-65,67,-11,886,-578,-55,-63,68,-13,938,-526,-204,-140,164,-21,968,-455,-375,-474,379,-37,1001,-453,-542,-1051,750,-107,955,-652,-650,-1781,1417,-134,802,-817,-558,-2277,2110,-226,570,-986,-346,-2207,2415,-154,214,-1183,13,-1614,2328,187,-216,-1352,353,-924,1810,268,-606,-1505,618,-246,714,178,-739,-1721,654,508,-680,199,-620,-2022,417,1602,-2288,-96,-397,-2150,-48,2891,-3246,-435,27,-2106,-879,3996,-3622,-717,433,-1819,-1375,3795,-3169,-1532,547,-1289,-1514,2991,-2442,-2543,460,-761,-1450,2481,-1460,-2549,316,-282,-1297,1858,-810,-2256,241,41,-1053,1223,-353,-1619,298,232,-841,848,-111,-907,441,310,-636,563,15,-228,618,324,-543,391,-69,130,756,252,-502,184,-42,345,834,231,-458,160,-7,452,835,201,-435,101,20,499
819,-612,-80,172,-103,19,819,-611,-88,132,-94,9,821,-611,-90,91,-78,1,822,-607,-89,63,-35,8,819,-611,-73,33,0,10,813,-614,-59,18,3,6,811,-614,-53,10,-3,6,812,-616,-48,6,3,8,811,-618,-41,8,8,6,809,-617,-39,8,7,4,808,-619,-40,14,13,8,809,-622,-39,17,14,13,812,-624,-39,16,12,11,808,-615,-44,9,8,7,805,-613,-53,-13,15,12,802,-615,-52,-20,39,28,804,-622,-53,-34,56,43,802,-626,-48,-33,85,61,801,-634,-46,-52,96,60,799,-636,-43,-69,98,51,800,-631,-60,-92,99,41,803,-629,-80,-152,111,22,808,-612,-134,-234,108,-21,790,-601,-189,-351,197,-16,751,-559,-262,-421,275,-25,684,-470,-398,-546,457,48,611,-428,-561,-934,901,251,467,-441,-680,-1742,1652,461,260,-575,-657,-2432,2350,895,-141,-902,-449,-2393,3137,2013
867,-526,-160,-18,46,36,872,-532,-152,-23,45,34,870,-532,-145,-24,38,23,865,-532,-142,-23,31,18,862,-536,-144,-28,24,16,861,-541,-144,-32,32,18,861,-544,-137,-32,37,18,861,-547,-134,-24,40,19,859,-544,-131,-22,35,14,861,-543,-135,-16,33,16,864,-541,-136,-16,37,16,862,-536,-137,-18,35,10,858,-520,-155,-36,23,0,847,-488,-244,-6,57,52,795,-440,-326,-16,290,218,717,-413,-457,-99,437,327,590,-378,-733,-407,821,605,455,-521,-1080,-1351,1741,783,391,-850,-1258,-2392,2637,806,268,-1189,-1192,-3147,3457,602,-318,-1821,-869,-3482,4085,875,-1557,-3053,314,-2491,3149,1005,-1919,-3772,349,-126,-46,-47,-1704,-3786,-530,2361,-2490,-2213,-1391,-3033,-1800,3676,-3183,-3624,-986,-1894,-2302,3761,-1804,-4024,-726,-1119,-1998,3334,-921,-3708,-578,-398,-1873,2579,-419,-3243,-464,99,-1351,1527,-28,-2035,-60,133,-1022,768,-139,-959
854,-580,-35,-27,-50,-26,862,-581,-53,-54,-52,-49,865,-576,-69,-95,-52,-77,865,-571,-88,-138,-41,-96,878,-571,-130,-170,-40,-110,942,-571,-253,-252,-21,-147,1084,-585,-526,-538,61,-319,1129,-575,-792,-1097,376,-575,1035,-582,-838,-1566,807,-567,925,-603,-785,-2180,1030,-672,827,-592,-704,-2784,971,-810,676,-544,-623,-3118,1052,-710,506,-520,-540,-3275,1122,-429,224,-564,-362,-3156,1326,195,-121,-637,-163,-2820,1166,1043,-411,-861,-117,-2542,806,1823,-738,-1279,-69,-2516,-83,2202,-842,-2186,47,-2135,-789,2058,-977,-3013,93,-1231,-2620,-537,-672,-3457,-753,988,-3525,-2582,-211,-3038,-1760,2839,-2973,-3806,-117,-2229,-2135,3264,-2142,-4264,-148,-1538,-1937,2660,-1090,-4376,-173,-1053,-1543,2261,-383,-3897,-104,-620,-1276,1665,-120,-3306,-101,-291,-966,1185,142,-2605,-72,45,-732,873,114,-1755,37,281,-585,685,17,-895,176,428,-520,561,-48,-215,368,498,-477,411,-71,418
749,-671,13,108,118,65,746,-677,19,56,81,48,743,-690,33,12,63,47,748,-700,39,-26,14,26,750,-695,31,-24,1,20,784,-697,-52,-42,-3,-3,864,-670,-280,-110,216,1,936,-664,-561,-458,713,-106,881,-724,-680,-989,1270,-268,763,-867,-714,-1713,1945,-464,642,-1027,-654,-2279,2501,-615,462,-1138,-482,-2591,2885,-815,227,-1248,-182,-2435,2961,-799,-126,-1356,219,-2016,2530,-689,-414,-1474,616,-1350,1776,-291,-573,-1604,887,-351,301,-36,-525,-1755,720,1024,-1639,295,-366,-1954,263,2218,-3010,469,-66,-1992,-397,3072,-3733,-26,204,-1645,-957,3213,-3658,-723,402,-1093,-1179,2856,-2727,-916,499,-746,-1102,2317,-1917,-930,542,-501,-859,1612,-1185,-861,608,-376,-670,1143,-784,-607,691,-289,-520,705,-462,-380,759,-240,-416,469,-274,-139,850,-233,-361,225,-129,60,899,-281,-305,59,4,198,927,-312,-258,-50,79,248,933,-334,-209,-143,102,265
866,-532,-106,-8,-14,16,864,-533,-109,-6,2,13,861,-538,-106,-4,11,12,863,-543,-107,3,13,11,863,-542,-113,0,10,7,863,-538,-131,-4,10,3,863,-532,-174,-31,24,2,869,-526,-335,-129,125,22,904,-525,-608,-306,407,54,881,-559,-872,-909,1037,44,779,-710,-958,-1657,1747,19,630,-950,-921,-2633,2462,-86,480,-1161,-696,-3052,2941,-232,232,-1415,-298,-3140,3067,-419,-51,-1587,248,-2427,2675,-368,-250,-1605,669,-1598,1878,-455,-313,-1539,943,-440,541,-584,-227,-1530,865,905,-840,-466,-57,-1628,472,2373,-2034,-254,136,-1741,28,3325,-2569,-215,421,-1618,-636,3931,-2660,-391,614,-1186,-1125,3440,-2287,-706,720,-734,-1300,2618,-1471,-838,672,-485,-1084,1907,-712,-649,680,-337,-760,1079,-372,-376,721,-286,-526,548,-194,-137,791,-266,-337,218,-77,77,887,-277,-248,48,-8,201,947,-292,-198,3,79,254,973,-300,-154,-18,119,251
